PROJECT	timepoint	prj_capacity_factor
N-Residential_PV	1	0.00
N-Residential_PV	2	0.55
N-Residential_PV	3	0.00
N-Residential_PV	4	0.60
N-Residential_PV	5	0.00
N-Residential_PV	6	0.72
N-Residential_PV	7	0.00
N-Residential_PV	8	0.55
N-Residential_PV	9	0.00
N-Residential_PV	10	0.60
N-Residential_PV	11	0.00
N-Residential_PV	12	0.72
N-Residential_PV	13	0.33
N-Commercial_PV	1	0.00
N-Commercial_PV	2	0.65
N-Commercial_PV	3	0.00
N-Commercial_PV	4	0.66
N-Commercial_PV	5	0.00
N-Commercial_PV	6	0.73
N-Commercial_PV	7	0.00
N-Commercial_PV	8	0.65
N-Commercial_PV	9	0.00
N-Commercial_PV	10	0.66
N-Commercial_PV	11	0.00
N-Commercial_PV	12	0.73
N-Commercial_PV	13	0.38
N-Central_PV-1	1	0.00
N-Central_PV-1	2	0.56
N-Central_PV-1	3	0.00
N-Central_PV-1	4	0.62
N-Central_PV-1	5	0.00
N-Central_PV-1	6	0.73
N-Central_PV-1	7	0.00
N-Central_PV-1	8	0.56
N-Central_PV-1	9	0.00
N-Central_PV-1	10	0.62
N-Central_PV-1	11	0.00
N-Central_PV-1	12	0.73
N-Central_PV-1	13	0.41
N-Central_PV-2	1	0.00
N-Central_PV-2	2	0.60
N-Central_PV-2	3	0.00
N-Central_PV-2	4	0.61
N-Central_PV-2	5	0.00
N-Central_PV-2	6	0.81
N-Central_PV-2	7	0.00
N-Central_PV-2	8	0.60
N-Central_PV-2	9	0.00
N-Central_PV-2	10	0.61
N-Central_PV-2	11	0.00
N-Central_PV-2	12	0.81
N-Central_PV-2	13	0.36
C-Residential_PV	1	0.00
C-Residential_PV	2	0.59
C-Residential_PV	3	0.00
C-Residential_PV	4	0.64
C-Residential_PV	5	0.00
C-Residential_PV	6	0.74
C-Residential_PV	7	0.00
C-Residential_PV	8	0.59
C-Residential_PV	9	0.00
C-Residential_PV	10	0.64
C-Residential_PV	11	0.00
C-Residential_PV	12	0.74
C-Residential_PV	13	0.34
C-Commercial_PV	1	0.00
C-Commercial_PV	2	0.61
C-Commercial_PV	3	0.00
C-Commercial_PV	4	0.66
C-Commercial_PV	5	0.00
C-Commercial_PV	6	0.74
C-Commercial_PV	7	0.00
C-Commercial_PV	8	0.61
C-Commercial_PV	9	0.00
C-Commercial_PV	10	0.66
C-Commercial_PV	11	0.00
C-Commercial_PV	12	0.74
C-Commercial_PV	13	0.40
C-Central_PV-1	1	0.00
C-Central_PV-1	2	0.61
C-Central_PV-1	3	0.00
C-Central_PV-1	4	0.64
C-Central_PV-1	5	0.00
C-Central_PV-1	6	0.79
C-Central_PV-1	7	0.00
C-Central_PV-1	8	0.61
C-Central_PV-1	9	0.00
C-Central_PV-1	10	0.64
C-Central_PV-1	11	0.00
C-Central_PV-1	12	0.79
C-Central_PV-1	13	0.39
C-Central_PV-2	1	0.00
C-Central_PV-2	2	0.64
C-Central_PV-2	3	0.00
C-Central_PV-2	4	0.68
C-Central_PV-2	5	0.00
C-Central_PV-2	6	0.72
C-Central_PV-2	7	0.00
C-Central_PV-2	8	0.64
C-Central_PV-2	9	0.00
C-Central_PV-2	10	0.68
C-Central_PV-2	11	0.00
C-Central_PV-2	12	0.72
C-Central_PV-2	13	0.41
S-Residential_PV	1	0.00
S-Residential_PV	2	0.57
S-Residential_PV	3	0.00
S-Residential_PV	4	0.66
S-Residential_PV	5	0.00
S-Residential_PV	6	0.75
S-Residential_PV	7	0.00
S-Residential_PV	8	0.57
S-Residential_PV	9	0.00
S-Residential_PV	10	0.66
S-Residential_PV	11	0.00
S-Residential_PV	12	0.75
S-Residential_PV	13	0.34
S-Commercial_PV	1	0.00
S-Commercial_PV	2	0.57
S-Commercial_PV	3	0.00
S-Commercial_PV	4	0.63
S-Commercial_PV	5	0.00
S-Commercial_PV	6	0.79
S-Commercial_PV	7	0.00
S-Commercial_PV	8	0.57
S-Commercial_PV	9	0.00
S-Commercial_PV	10	0.63
S-Commercial_PV	11	0.00
S-Commercial_PV	12	0.79
S-Commercial_PV	13	0.34
S-Central_PV-1	1	0.00
S-Central_PV-1	2	0.61
S-Central_PV-1	3	0.00
S-Central_PV-1	4	0.70
S-Central_PV-1	5	0.00
S-Central_PV-1	6	0.75
S-Central_PV-1	7	0.00
S-Central_PV-1	8	0.61
S-Central_PV-1	9	0.00
S-Central_PV-1	10	0.70
S-Central_PV-1	11	0.00
S-Central_PV-1	12	0.75
S-Central_PV-1	13	0.37
S-Central_PV-2	1	0.00
S-Central_PV-2	2	0.64
S-Central_PV-2	3	0.00
S-Central_PV-2	4	0.63
S-Central_PV-2	5	0.00
S-Central_PV-2	6	0.74
S-Central_PV-2	7	0.00
S-Central_PV-2	8	0.64
S-Central_PV-2	9	0.00
S-Central_PV-2	10	0.63
S-Central_PV-2	11	0.00
S-Central_PV-2	12	0.74
S-Central_PV-2	13	0.40
N-Wind-1	1	0.60
N-Wind-1	2	0.30
N-Wind-1	3	0.65
N-Wind-1	4	0.42
N-Wind-1	5	0.12
N-Wind-1	6	0.05
N-Wind-1	7	0.60
N-Wind-1	8	0.30
N-Wind-1	9	0.65
N-Wind-1	10	0.42
N-Wind-1	11	0.12
N-Wind-1	12	0.05
N-Wind-1	13	0.80
N-Wind-2	1	0.68
N-Wind-2	2	0.33
N-Wind-2	3	0.71
N-Wind-2	4	0.46
N-Wind-2	5	0.17
N-Wind-2	6	0.13
N-Wind-2	7	0.68
N-Wind-2	8	0.33
N-Wind-2	9	0.71
N-Wind-2	10	0.46
N-Wind-2	11	0.17
N-Wind-2	12	0.13
N-Wind-2	13	0.87
C-Wind-1	1	0.66
C-Wind-1	2	0.40
C-Wind-1	3	0.73
C-Wind-1	4	0.50
C-Wind-1	5	0.22
C-Wind-1	6	0.05
C-Wind-1	7	0.66
C-Wind-1	8	0.40
C-Wind-1	9	0.73
C-Wind-1	10	0.50
C-Wind-1	11	0.22
C-Wind-1	12	0.05
C-Wind-1	13	0.80
C-Wind-2	1	0.62
C-Wind-2	2	0.36
C-Wind-2	3	0.66
C-Wind-2	4	0.48
C-Wind-2	5	0.14
C-Wind-2	6	0.05
C-Wind-2	7	0.62
C-Wind-2	8	0.36
C-Wind-2	9	0.66
C-Wind-2	10	0.48
C-Wind-2	11	0.14
C-Wind-2	12	0.05
C-Wind-2	13	0.86
